Title,Box Office Worldwide
Iron Man,"$585,796,247"
The Incredible Hulk,"$264,770,996"
Iron Man 2,"$623,933,331"
Thor,"$449,326,618"
Captain America: The First Avenger,"$370,569,774"
Avengers Assemble,"$1,520,538,536"
Iron Man 3,"$1,215,577,205"
Thor: The Dark World,"$644,783,140"
Captain America: The Winter Soldier,"$714,421,503"
Guardians of the Galaxy,"$773,350,376"
Avengers: Age of Ultron,"$1,405,018,048"
Ant-Man,"$519,311,965"
Captain America: Civil War,"$1,155,046,416"
Doctor Strange,"$677,796,833"
Guardians of the Galaxy: Vol. 2,"$863,756,903"
Spider-Man: Homecoming,"$880,918,840"
Thor: Ragnarok,"$855,301,806"
Black Panther,"$1,374,959,729"
Avengers: Infinity War,"$2,052,415,039"
Ant-Man and the Wasp,"$622,674,139"
Captain Marvel,"$1,131,416,446"
Avengers: Endgame,"$2,799,439,100"
Spider-Man: Far from Home,"$1,132,679,685"
Guardians of the Galaxy Vol. 3,"$845,555,777"
Black Widow,"$379,751,655"
Snow White and the Seven Dwarfs,"$184,960,747"
Pinocchio,"$121,892,045"
Fantasia,"$76,411,819"
Dumbo,"$3,890"
Bambi,"$267,447,150"
Saludos Amigos,N/A
The Three Caballeros,N/A
Make Mine Music,N/A
Fun & Fancy Free,N/A
Melody Time,N/A
The Adventures of Ichabod and Mr. Toad,N/A
Cinderella,"$96,383,330"
Alice in Wonderland,$865
Peter Pan,"$87,405,539"
Lady and the Tramp,"$93,933,673"
Sleeping Beauty,"$51,600,401"
101 Dalmatians,"$215,880,014"
The Sword in the Stone,"$12,000,000"
The Jungle Book,"$205,843,612"
The AristoCats,"$35,461,460"
Robin Hood,N/A
The Many Adventures of Winnie the Pooh,N/A
The Rescuers,"$71,215,869"
The Fox and the Hound,"$63,456,988"
The 40 Year-Old Virgin,"$177,378,645"
Anger Management,"$195,745,823"
As Good as It Gets,"$314,178,011"
Beauty Shop,"$37,245,453"
Blazing Saddles,"$119,620,114"
Caddyshack,"$39,918,650"
Casino Royale,"$2,500"
Click,"$240,685,326"
Deathtrap,"$19,282,134"
The Devil Wears Prada,"$326,715,791"
Diary of a Mad Black Woman,"$50,652,203"
The First Wives Club,"$181,489,203"
A Fish Called Wanda,"$62,493,712"
The Full Monty,"$257,938,649"
The Gods Must Be Crazy,"$30,031,783"
Guarding Tess,"$27,058,304"
Hopscotch,N/A
Legally Blonde,"$141,778,188"
Little Miss Sunshine,"$101,059,124"
Monty Python and the Holy Grail,"$2,817,496"
My Cousin Vinny,"$64,088,552"
A Night at the Opera,"$5,320"
Patch Adams,"$202,292,902"
Pitch Black,"$53,187,659"
Isn't She Great,"$3,003,296"
Erin Brockovich,"$256,271,286"
The Skulls,"$50,802,120"
U-571,"$127,666,415"
The Flintstones in Viva Rock Vegas,"$59,468,275"
Gladiator,"$465,387,186"
Screwed,"$7,201,701"
The Adventures of Rocky & Bullwinkle,"$35,134,820"
Nutty Professor II: The Klumps,"$166,339,890"
Bring It On,"$90,449,929"
The Watcher,"$47,267,829"
Meet the Parents,"$330,444,045"
How the Grinch Stole Christmas,"$346,654,179"
O Brother,N/A
The Family Man,"$124,745,083"
Head Over Heels,"$13,127,022"
Hannibal,"$351,692,268"
Josie and the Pussycats,"$14,866,444"
Bridget Jones's Diary,"$334,273,059"
The Mummy Returns,"$443,284,916"
The Fast and the Furious,"$207,517,995"
Jurassic Park III,"$368,780,809"
American Pie 2,"$287,553,595"
Captain Corelli's Mandolin,"$62,112,895"
Skyfall,"$1,108,594,137"
Spider-Man 3,"$895,735,062"
Spectre,"$880,707,597"
Spider-Man,"$825,776,725"
Spider-Man 2,"$784,518,030"
2012,"$791,217,826"
The Da Vinci Code,"$760,006,945"
The Amazing Spider-Man,"$758,682,352"
The Amazing Spider-Man 2,"$709,734,012"
Hancock,"$629,443,428"
Men in Black 3,"$654,213,485"
Casino Royale,"$616,577,552"
Men in Black,"$589,390,539"
Quantum of Solace,"$589,593,688"
The Smurfs,"$563,892,376"
The Mermaid,"$553,810,228"
Terminator 2: Judgment Day,"$520,881,154"
Angels & Demons,"$485,930,816"
Hotel Transylvania 2,"$475,186,976"
Men in Black II,"$445,135,288"
Die Another Day,"$431,971,116"
Dances with Wolves,"$424,208,848"
Gone with the Wind,"$402,382,193"
Godzilla,"$379,014,294"
Hitch,"$371,594,210"
Solaris,"$30,002,758"
Rising Sun,"$107,198,790"
Ice Age: Dawn of the Dinosaurs,"$886,686,817"
Home Alone,"$476,684,675"
Home Alone 2: Lost in New York,"$358,994,850"
Prometheus,"$403,354,469"
X-Men,"$296,339,528"
X-Men 2,"$407,711,549"
X-Men: The Last Stand,"$460,435,291"
Alien,"$108,591,169"
The A-Team,"$177,238,796"
Minority Report,"$358,372,926"
Aliens,"$131,060,248"
Avatar,"$2,923,706,026"
There's Something About Mary,"$369,884,651"
Lincoln,"$275,293,450"
The Wolverine,"$414,828,246"
Gulliver's Travels,"$237,382,724"
Rise of the Planet of the Apes,"$481,800,873"
Independence Day,"$817,400,891"
Cast Away,"$429,632,142"
Die Hard 4.0,"$388,156,011"
Romeo + Juliet,"$147,554,998"
Predators,"$127,233,108"
The Dark Knight,"$1,008,524,647"
Inception,"$839,030,630"
The Matrix,"$467,840,449"
GoodFellas,"$47,049,999"
The Green Mile,"$286,801,374"
Interstellar,"$705,191,242"
The Departed,"$291,481,358"
The Prestige,"$109,676,311"
Casablanca,"$4,663,981"
Joker,"$1,078,958,629"
The Shining,"$47,528,814"
The Dark Knight Rises,"$1,085,289,416"
Once Upon a Time in America,"$5,475,086"
Full Metal Jacket,"$50,193,264"
A Clockwork Orange,"$27,033,812"
Heat,"$187,436,818"
L.A. Confidential,"$126,216,940"
Batman Begins,"$375,325,692"
Unforgiven,"$159,167,799"
The Treasure of the Sierra Madre,"$5,014,000"
Dial M for Murder,"$43,308"
V for Vendetta,"$134,686,457"
Blade Runner,"$41,762,210"
Gran Torino,"$269,958,228"
Barry Lyndon,"$267,624"
Mad Max: Fury Road,"$380,437,267"
Million Dollar Baby,"$216,763,646"
Harry Potter and the Deathly Hallows: Part 2,"$1,342,480,797"
Before Sunset,"$15,855,022"
Antz,"$171,757,863"
The Prince of Egypt,"$218,613,188"
Chicken Run,"$224,888,359"
The Road to El Dorado,"$76,432,727"
Joseph: King of Dreams,N/A
Shrek,"$488,628,188"
Spirit: Stallion of the Cimarron,"$122,563,539"
Sinbad: Legend of the Seven Seas,"$80,773,077"
Shrek 2,"$932,396,221"
Shark Tale,"$374,583,879"
Madagascar,"$542,063,846"
The Curse of the Were-Rabbit,"$192,652,752"
Over the Hedge,"$339,795,890"
Flushed Away,"$178,281,554"
Shrek the Third,"$813,367,380"
Bee Movie,"$293,514,336"
Kung Fu Panda,"$632,091,832"
Madagascar: Escape 2 Africa,"$603,900,354"
How to Train Your Dragon,"$494,879,860"
Monsters vs. Aliens,"$381,509,870"
Shrek Forever After,"$752,600,867"
Megamind,"$321,885,765"
Kung Fu Panda 2,"$665,692,281"
Puss in Boots,"$554,987,477"
Madagascar 3: Europe's Most Wanted,"$746,921,274"
Rise of the Guardians,"$306,941,670"
The Croods,"$587,266,745"
Turbo,"$282,570,682"
Mr. Peabody & Sherman,"$275,698,039"
How to Train Your Dragon 2,"$621,537,519"
Penguins of Madagascar,"$373,515,621"
Home,"$386,041,607"
Kung Fu Panda 3,"$521,170,825"
Trolls,"$347,337,803"
The Boss Baby,"$527,965,936"
Captain Underpants: The First Epic Movie,"$125,427,681"
How to Train Your Dragon: The Hidden World,"$524,581,026"
Trolls World Tour,"$49,276,818"
The Croods: A New Age,"$215,905,815"
The Boss Baby 2: Family Business,"$146,745,280"
